category,state,name,phone,address,city,state.1,postal_code,website,rating,reviews,sent,emailss,email,socials,ceo_name,description,avatar_url,performance_score,crawl_status,country,group
Tire Repair,New York NY,Tire,(718) 480-8869,8788 Van Wyck Expy,"Richmond Hill, NY 11418",NY,11418.0,http://tireny.localsearch.com,,28 Years,no,,,,,,,60,success,USA,Auto Services
Car Transport,Atlanta GA,Ultimate Auto Transport,(678) 620-3024,970 Yancey Ct,"Loganville, GA 30052",GA,30052.0,http://ultimateautotransport.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Auto Parts,Columbus OH,Auto Glass Specialists Inc,(614) 761-4900,2400 Farmers Dr,"Columbus, OH 43235",OH,43235.0,http://autoglassspecialistsinc.localsearch.com,,,no,,,,,,,65,success,USA,Auto Services
Auto Repair,Fort Lauderdale FL,Broadway Auto,(754) 206-4139,930 NE 4th Ave,"Fort Lauderdale, FL 33304",FL,33304.0,http://yellowpages.com/fort-lauderdale-fl/mip/fort-lauderdale-auto-repair-461799456,,,no,,,,,,,65,success,USA,Auto Services
Auto Repair,New York NY,NYC Towing Co,(646) 560-0505,356 West St,"New York, NY 10014",NY,10014.0,http://nyctowingcompany.net,,(2),no,,,,,"Call (800) 311-5593 for trusted New York City towing. Available 24/7 across NYC NY for emergency towing, fast tow trucks, and blocked driveway removal.",http://nyctowingcompany.net/assets/images/favicon.png?v=6b262f7f,60,success,USA,Auto Services
Remanufactured Engines,Atlanta GA,Southern Motorworks,(770) 497-0771,3446 Buford Hwy,"Duluth, GA 30096",GA,30096.0,https://southernmotorworks.net,,33 Years,no,,,,,"Affordable car repair, trust Southern Motor Works. Engine auto repair in Duluth Georgia | Call 770.497.0771",https://i0.wp.com/southernmotorworks.net/wp-content/uploads/cropped-AdobeStock_48702553.jpeg?fit=32%2C32&ssl=1,70,success,USA,Auto Services
Remanufactured Engines,Atlanta GA,Roswell Auto Care,(770) 552-8419,43 Magnolia St,"Roswell, GA 30075",GA,30075.0,http://www.autorepairshoproswell.com,,36 Years,no,,,,,,,65,success,USA,Auto Services
Car Transport,Atlanta GA,K & C Auto Transport,(678) 907-0033,138 W Skyline Vw,"Dallas, GA 30157",GA,30157.0,http://yellowpages.com/dallas-ga/mip/k-c-auto-transport-499383099,,,no,,,,,,,65,success,USA,Auto Services
Car Detailing,Cleveland OH,Oil Express Auto Detailing,(216) 362-1231,5775 Engle Rd,"Brookpark, OH 44142",OH,44142.0,http://oilexpressautodetailing.localsearch.com,,,no,,,,,,,65,success,USA,Auto Services
Car Transport,Atlanta GA,"Riley Auto Carrier, Inc.",(770) 695-7695,485 Horizon Dr,"Suwanee, GA 30024",GA,30024.0,http://rileyautocarrierinc.localsearch.com,,33 Years,no,,,,,,,50,success,USA,Auto Services
Car Transport,Atlanta GA,Amerifreight,(770) 486-1010,401 Westpark Ct,"Peachtree City, GA 30269",GA,30269.0,https://www.amerifreight.net,,,no,,info@amerifreight.net,"https://twitter.com/_amerifreight?lang=en, https://www.facebook.com/AFCarShipping/, https://www.linkedin.com/company/amerifreight",,"As one of the best car shipping companies nationwide, AmeriFreight car shipping provides safe, and affordable auto transport. Get a FREE instant quote today!",https://www.amerifreight.net/public/assets/front/images/38x38-AM-5.png,75,success,USA,Auto Services
Auto Parts,Columbus OH,AutoZone Auto Parts,(614) 846-6058,8338 Sancus Blvd,"Columbus, OH 43240",OH,43240.0,https://www.autozone.com/locations/oh/columbus/8338-sancus-blvd.html,,47 Years,no,,,,,px-captcha,,85,success,USA,Auto Services
