category,state,name,phone,address,city,state.1,postal_code,website,rating,reviews,sent,emailss,email,socials,ceo_name,description,avatar_url,performance_score,crawl_status,country,group
Auto AC Repair,Austin TX,Austin Auto Group,(512) 271-2027,7500 Burnet Rd,"Austin, TX 78757",TX,78757.0,http://austinautogroup.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Auto Parts,Louisville KY,Harbor Freight Tools,(502) 961-5377,12060 Standiford Plaza Dr,"Louisville, KY 40229",KY,40229.0,https://www.harborfreight.com/storelocator/store?number=3022,,,no,,,,,px-captcha,,70,success,USA,Auto Services
Tire Shops,Chicago IL,Grand Towing,(312) 666-6363,,,,,,,39 Years,no,,,,,,,0,error,USA,Auto Services
Tire Shops,Chicago IL,Elite Tire & Auto Service Inc,(708) 366-4032,35 Harlem Ave,"Forest Park, IL 60130",IL,60130.0,http://www.elitetireandautoservice.net,,,no,,,,,,,65,success,USA,Auto Services
Auto Salvage,New York NY,NYC towing 247,(646) 276-4142,"38-21, 23rd street,","Long Island City, NY 11101",NY,11101.0,http://nyctowing247.localsearch.com,,21 Years,no,,,,,,,50,success,USA,Auto Services
Auto Parts,Louisville KY,Bilbrey Automotive & Transmiss,(502) 933-5353,13517 Dixie Hwy,"Louisville, KY 40272",KY,40272.0,http://www.bilbreyracing.com,,,no,,,,,,,0,error,USA,Auto Services
Roadside Assistance,Louisville KY,Pop-A-Lock,(812) 288-7576,624 E Market St,"New Albany, IN 47150",IN,47150.0,http://popalock.com,,,no,,,,,,,65,success,USA,Auto Services
Auto Parts,Louisville KY,Novel Precision Machining,(502) 425-4795,3600 Chamberlain Ln Ste 502,"Louisville, KY 40241",KY,40241.0,http://novelprecisionmachining.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Auto Salvage,New York NY,Wanted JUNK CAR SELL CAR RIGHT NOW MASPETH QUEENS,(718) 433-6901,57-15 #2  grand ave,"Maspeth, NY 11378",NY,11378.0,http://wantedjunkcarsellcarrightnowmaspethqueens.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Radiator Repair,Dallas TX,Rgsk,(214) 219-7100,3224 N Fitzhugh Ave,"Dallas, TX 75204",TX,75204.0,http://rgsk.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Remanufactured Engines,Huntsville AL,Fixed Right Automotive,(256) 931-2535,25 Freedom Dr,"Arab, AL 35016",AL,35016.0,http://fixedrightautomotive.net,,24 Years,no,,,,,,,60,success,USA,Auto Services
Tire Shops,Chicago IL,Big Tows Auto Recovery,(708) 979-8697,,,,,http://bigtowsautorecovery.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Auto AC Repair,Austin TX,Shreve Automotive,(512) 834-0708,1812 Rutland Dr,"Austin, TX 78758",TX,78758.0,http://www.shreveauto.com,,53 Years,no,,,,,,,65,success,USA,Auto Services
Car Alarm Installation,Los Angeles CA,Mediland Corporation,(562) 663-9199,7027 Motz St,"Paramount, CA 90723",CA,90723.0,https://premiumwindows.m.ec21.com,,,no,,,,,,,60,success,USA,Auto Services
Auto Repair,Houston TX,24 hrs Transmissions Houston,(832) 975-7727,"2501 Westerland Dr,","Houston, TX 77063",TX,77063.0,http://24hrstransmissionshouston.localsearch.com,,27 Years,no,,,,,,,50,success,USA,Auto Services
Roadside Assistance,Louisville KY,AAA Insurance,(877) 868-2975,445 E Market St,"Louisville, KY 40202",KY,40202.0,http://aaa.com,,124 Years,no,,,,,,http://aaa.com/images/aaa_favicon.ico,50,success,USA,Auto Services
Auto Parts,Chicago IL,Muffler & Brakeman Car Care Centers,(773) 538-7770,4701 S Halsted St,"Chicago, IL 60609",IL,60609.0,http://mufflerbrakemancarcarecenters.localsearch.com,,(3),no,,,,,,,50,success,USA,Auto Services
Radiator Repair,Dallas TX,A & V Auto Expresss,(469) 779-7052,1207 Mckenzie St,"Dallas, TX 75223",TX,75223.0,http://yellowpages.com/dallas-tx/mip/lone-star-engine-installation-9663083,,,no,,,,,,,60,success,USA,Auto Services
Auto Parts,Louisville KY,Axiom Automotive Technologies,(502) 380-9819,4709 Allmond Ave,"Louisville, KY 40209",KY,40209.0,http://www.transtar1.com,,,no,,,,,,,0,timeout,USA,Auto Services
Roadside Assistance,Louisville KY,Affordable Roadside Service,(502) 714-0779,2112 kingsfield street,"jeffersonville, IN 47130",IN,47130.0,https://www.tvcmatrix.com/darimalone,,,no,,believetobebless@gmail.com,,,,https://www.tvcmatrix.com/secure/images/MemberOrgs/Icon1.ico,70,success,USA,Auto Services
Towing,Dallas TX,Roadside Service,(385) 715-3411,,,,,http://roadsideservice545337513.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Tire Shops,Chicago IL,Quiroz Tire Center,(708) 222-0638,5730 W 16th St,"Cicero, IL 60804",IL,60804.0,http://quiroztirecenter.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Auto Repair,Houston TX,24 hrs Local Auto Repair Houston,(832) 940-7325,6700 McHard Rd,"Houston, TX 77053",TX,77053.0,http://24hrslocalautorepairhouston.localsearch.com,,41 Years,no,,,,,,,60,success,USA,Auto Services
Auto Repair,Houston TX,Houston Emergency Vehicle Repair,(832) 937-6280,11676 Beamer Rd,"Houston, TX 77089",TX,77089.0,http://houstonemergencyvehiclerepair.localsearch.com,,28 Years,no,,,,,,,60,success,USA,Auto Services
Towing,Dallas TX,Ace Towing,(469) 616-4288,,,,,http://acetowingtx.localsearch.com,,,no,,,,,,,65,success,USA,Auto Services
Car Alarm Installation,Los Angeles CA,4470 W Rosecrans,(310) 970-1375,4470 Rosecrans Ave,"Lawndale, CA 90260",CA,90260.0,http://4470wrosecrans.localsearch.com,,,no,,,,,,,65,success,USA,Auto Services
Auto Salvage,New York NY,Lacey Used Auto Parts,(973) 465-7553,305 Wilson Ave,"Newark, NJ 07105",NJ,7105.0,http://laceyusedautoparts.com,,(3),no,,,,,,,65,success,USA,Auto Services
Tire Shops,Chicago IL,Ace Tire and Wheel,(708) 594-0300,6000 S Harlem Ave,"Summit Argo, IL 60501",IL,60501.0,http://acetireandwheelsummitargo.localsearch.com,,(1),no,,,,,,,50,success,USA,Auto Services
Tire Shops,Chicago IL,Rueda Tire Repair Shop,(708) 222-9160,4833 W Roosevelt Rd,"Cicero, IL 60804",IL,60804.0,http://ruedatirerepairshop.localsearch.com,,(1),no,,,,,,,65,success,USA,Auto Services
Auto Parts,Louisville KY,Jay Barkers Auto Repair,(502) 363-9613,4350 Taylor Blvd,"Louisville, KY 40215",KY,40215.0,https://www.jaybarkerautorepair.com,,,no,,,,,,,0,timeout,USA,Auto Services
Auto Body Shops,Denver CO,Bluewater Performance,(302) 800-7193,6425 Washington St Unit 18,"Denver, CO 80229",CO,80229.0,https://bwperformance.com,,17 Years,no,,,,,,,0,timeout,USA,Auto Services
Auto AC Repair,San Jose CA,El Monte Catering Trucks,(408) 286-6213,1067 S 5th St,"San Jose, CA 95112",CA,95112.0,http://elmontefoodtruckmfg.com,,26 Years,no,,,,,,,0,timeout,USA,Auto Services
Radiator Repair,Dallas TX,Sunset Auto Services,(214) 484-1346,732 E Jefferson Blvd,"Dallas, TX 75203",TX,75203.0,http://yellowpages.com/dallas-tx/mip/power-master-automotive-9256636,,,no,,,,,,,65,success,USA,Auto Services
Auto Parts,Chicago IL,Mufflers & Brakes 4 Less,(773) 434-4304,2934 W 63rd St,"Chicago, IL 60629",IL,60629.0,http://mufflersbrakes4lessil.localsearch.com,,(1),no,,,,,,,60,success,USA,Auto Services
